ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
BE6285450449	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6221503202	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6243179650	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6243180666	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6258027729	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6265140077	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6265141083	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6265142099	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6291424040	136,5898831	102,4288635	53,04806226	0	53,1800823	52,86760278	57,16955118	56,62064214	58,69943763	N	No	NULL													
BE6242927075	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6257983286	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0972530561	5,886223711	9,09093995	65,14985522	61,44341242	62,77118372	68,77108091	76,47508722	75,70278121	72,17755182	N	ISO 14000	100													
XS1405774990	5,886223711	9,09093995	65,14985522	61,44341242	62,77118372	68,77108091	76,47508722	75,70278121	72,17755182	N	ISO 14000	100													
XS1405780963	5,886223711	9,09093995	65,14985522	61,44341242	62,77118372	68,77108091	76,47508722	75,70278121	72,17755182	N	ISO 14000	100													
XS1527556192	5,886223711	9,09093995	65,14985522	61,44341242	62,77118372	68,77108091	76,47508722	75,70278121	72,17755182	N	ISO 14000	100													
XS0452314536	0,683639497	0,610961931	89,78246707	89,83598944	0	84,14925627	0	91,09190926	91,52925362	N	No	NULL													
XS1014759648	0,683639497	0,610961931	89,78246707	89,83598944	0	84,14925627	0	91,09190926	91,52925362	N	No	NULL													
