ISIN	Date	Before2020
DE000A1R0TN7	2017-06-23	True
DE000A1R04X6	2017-06-23	True
DE000A1R0691	2017-06-23	True
DE000A1TNJ97	2017-06-23	True
DE000A1TNK86	2017-06-23	True
DE000A1X3GC3	2017-06-23	True
DE000A2AAL23	2017-06-23	True
DE000A2AAL31	2017-06-23	True
DE000A2DADM7	2017-06-23	True
DE000A11QSB8	2017-06-23	True
DE000A169G07	2017-06-23	True
DE000A169G15	2017-06-23	True
DE000A169NA6	2017-06-23	True
DE000A169NB4	2017-06-23	True
DE000A169NC2	2017-06-23	True
DE000A168650	2017-06-23	True
DE000A19EJE0	2017-06-23	True
DE000A19HBM3	2017-06-23	True
FR0012432904	2017-06-23	True
FR0013216884	2017-06-23	True
BE0002189554	2017-06-23	True
XS0559434351	2017-06-23	True
DE000A0T7J03	2017-06-23	True
XS0164831843	2017-06-23	True
XS0452868788	2017-06-23	True
XS0515937406	2017-06-23	True
XS0524471355	2017-06-23	True
XS0554975325	2017-06-23	True
XS0632241112	2017-06-23	True
XS0753143709	2017-06-23	True
XS0856032213	2017-06-23	True
XS0969368934	2017-06-23	True
XS0988384904	2017-06-23	True
XS1045386494	2017-06-23	True
XS1309518998	2017-06-23	True
XS1316420089	2017-06-23	True
XS1372911690	2017-06-23	True
XS1441837546	2017-06-23	True
XS1451539487	2017-06-23	True
XS1493724584	2017-06-23	True
DE000A1R1BC6	2017-06-23	True
DE000A1RE1W1	2017-06-23	True
DE000A1684V3	2017-06-23	True
XS1109110251	2017-06-23	True
XS0862941506	2017-06-23	True
XS0862952297	2017-06-23	True
XS0977496636	2017-06-23	True
XS0977500767	2017-06-23	True
XS1388661651	2017-06-23	True
XS1388661735	2017-06-23	True
XS0795872901	2017-06-23	True
XS0795877454	2017-06-23	True
XS0441740817	2017-06-23	True
XS0494953820	2017-06-23	True
XS0503603267	2017-06-23	True
XS0525787874	2017-06-23	True
XS0847580353	2017-06-23	True
XS0850057588	2017-06-23	True
XS0875796541	2017-06-23	True
XS0875797515	2017-06-23	True
XS1382791975	2017-06-23	True
XS1382792197	2017-06-23	True
XS1396830058	2017-06-23	True
XS1557095459	2017-06-23	True
XS1557095616	2017-06-23	True
XS1557096267	2017-06-23	True
XS1617898363	2017-06-23	True
XS1250867642	2017-06-23	True
XS1088135634	2017-06-23	True
XS1400342587	2017-06-23	True
XS1589970968	2017-06-23	True
XS0322977223	2017-06-23	True
XS0347908096	2017-06-23	True
XS0361244667	2017-06-23	True
BE0002481563	2017-06-23	True
BE6212766131	2017-06-23	True
BE6228266902	2017-06-23	True
XS1492685885	2017-06-23	True
FR0012599892	2017-06-23	True
FR0013247202	2017-06-23	True
XS0557897203	2017-06-23	True
