Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
First Abu Dhabi Bank (2019);UAE;June 2019;KPMG;VIGEO EIRIS;https://www.bankfab.com/en-ae/about-fab/investor-relations/debt-investor-information/fab-green-bond;;
First Abu Dhabi Bank (2020);UAE;June 2020;KPMG;;https://www.bankfab.com/en-ae/about-fab/investor-relations/debt-investor-information/fab-green-bond;;
Flexigroup;Australia;;;DNV;https://www.flexigroup.com.au/first-subordinated-green-tranche;;
Fluvius System Operator;Belgium;;;ISS ESG;https://over.fluvius.be/en/thema/investor-relations/green-financing;;
Fortum Värme;Sweden;;;CICERO;http://www.fortum.com/countries/se/om-fortum/fortum-varme/finansiering/pages/default.aspx;;
Freddie Mac;US;;CICERO;CICERO;https://mf.freddiemac.com/investors/impact-bonds.html#green-bonds;;
Fuyo General Lease Co., Ltd;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.fgl.co.jp/eng/i_news.html;;
Garant-Invest Commercial Real Estate (2019);Russian Federation;;Expert RA;Expert RA;https://com-real.ru/green-bonds;;
Garant-Invest Commercial Real Estate (2020);Russian Federation;;Expert RA;Expert RA;https://com-real.ru/green-bonds;;
Gas Natural Fenosa;Spain;;;VIGEO EIRIS;http://www.gasnaturalfenosa.com/en/shareholders+and+investors/shares+and+equity/emissions+and+rating/euro+medium+term+notes+programme+emtn/1297342550554/green+bond.html;;
Genova Property Group AB;Sweden;January 2021;CICERO;CICERO;https://genova.se/green-finance-framework/;;
Georgia Global Utilities;Georgia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ggu.ge/green-bonds;;
GetLink S.E;France;;DNV;DNV;https://www.getlinkgroup.com/en/shareholders-investors/debtholders/;;
Global Invest Agrotech;Spain;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.globalinvestagrotech.com/;;
Globalworth;Guernsey;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.globalworth.com/investor-relations/bonds;;
GLP J-REIT;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.glpjreit.com/english/sustainability/greenbond.html;;
GPSS Holdings, Inc.;Japan;;Japan Credit Rating Agency;;https://gpssgroup.jp/sustainability-en/;;
Granite REIT;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://granitereit.com/sustainability;;
Greenko Group;India;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.greenkogroup.com/social-impact.html#environmental_initiatives;;
Growthpoint;South Africa;;;KPMG;https://growthpoint.co.za/environmental-sustainability/green-bond;;
Grupo Aeroportuario del Centro Norte (OMA);Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://ir.oma.aero/index.php/es/debt-profile;;
Grupo Pestana SGPS;Portugal;October 2019;;DNV;https://www.pestanagroup.com/en/financial-indicators/dados-relevantes/;;
Hafslund Eco AS;Norway;;;CICERO;https://hafslundeco.no/en/financial-information/key-figures;;
Hamburger Hochbahn AG;Germany;;;CICERO;https://www.hochbahn.de/hochbahn/hamburg/en/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zivTwsPA29nA18_P2MTQ0CXZyCHQ0NTT2Dgsz0vfSj8CsAmmBU5Ovsm64fVZBYkqGbmZeWrx8RnJpZkpqn4JqZnppXnJyRmAbk6RdkR0UCAPUv8CQ!/;;
Handelsbanken;Sweden;;;CICERO;https://www.handelsbanken.co.uk/idaboutthebank_individual;;
Hanjin Supra-national Corp.;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.wilshiregrandcenter.com/project-info/sustainability;;
Hankyu Hanshin REIT, Inc.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.hankyuhanshinreit.co.jp/eng/ir;;
Hannon Armstrong;US;;;Moody's Investors Service;http://investors.hannonarmstrong.com/;;
Hanwha Energy USA;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://174powerglobal.com/sustainability/;;
Hanwha Solutions;South Korea;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.hanwha.com/en/investors.html;;
Hawaiian Electric Company Inc. ;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.hawaiianelectric.com/clean-energy-hawaii/sustainability-report;;
Hemfosa Fastigheter AB;Sweden;May 2019;CICERO;CICERO;https://hemfosa.se/en/about-hemfosa/sustainability/;;
HERA;Italy;;;ISS-oekom;https://eng.gruppohera.it/group/investor_relations/;;
Hitachi Capital (UK) PLC;UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.hitachicapital.co.uk/financial-performance/;;
Hitachi Capital Corporation (Rating and Investment Information);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;http://www.hitachi-capital.co.jp/hcc/english/company/environment.html;;
Hitachi Capital Corporation (Sustainalytics);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.hitachi-capital.co.jp/hcc/english/company/environment.html;;
Hitachi Zosen Corporation;Japan;August 2018;DNV;DNV;http://www.hitachizosen.co.jp/english/csr/;;
HKSAR Government;China;;;VIGEO EIRIS;https://www.hkgb.gov.hk/en/green/green.html;;
Honda Finance;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://global.honda/investors/;;
Hong Kong and China Gas Company Limited (Towngas Group);China;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.towngas.com/en/Social-Responsibility/Health,-Safety-and-Environmental-Management/Green-Financing;;
HSBC;UK;;;CICERO;http://www.hsbc.com/investor-relations/fixed-income-securities/green-bond-reports;;
Hudson Solar Japan;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.hudsonsustainable.com/investment-expertise/private-equity;;
Hypo Vorarlberg Bank AG;Austria;;;oekom research ;https://www.hypovbg.at/facts-in-english/investor-relations/;;
Hysan;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.hysan.com.hk/sustainability/;;
Iberdrola (December 2016);Spain;;;VIGEO EIRIS;https://www.iberdrola.com/shareholders-investors/investors/fixed-income/information-related-to-green-bonds;;
Iberdrola (June 2018);Spain;;;VIGEO EIRIS;https://www.iberdrola.com/shareholders-investors/investors/fixed-income/information-related-to-green-bonds;;
Iberdrola (March 2017);Spain;;;VIGEO EIRIS;https://www.iberdrola.com/shareholders-investors/investors/fixed-income/information-related-to-green-bonds;;
Iberdrola (September 2017);Spain;;;VIGEO EIRIS;https://www.iberdrola.com/shareholders-investors/investors/fixed-income/information-related-to-green-bonds;;
Icade S.A;France;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.icade.fr/en/finance/financing/bond-issue;;
Indian Renewable Energy Development Agency Limited’s (IREDA);India;;;Moody's Investors Service;https://ireda.in/forms/contentpage.aspx?lid=1407;;
Industrial and Commercial Bank of China;China;;;CICERO;http://www.icbc-ltd.com/ICBCLtd/Investor%20Relations/GreenFinance/;;
Industrial Bank of China;China;;CICERO;CICERO;https://www.cib.com.cn/en/aboutCIB/about/;;
ING Bank NV (2017);Netherlands;July 2016;oekom research;oekom research;https://www.ing.com/ING-in-Society/Sustainability/INGs-Sustainability-Direction/Green-bond.htm;;
ING Bank NV (2020);Netherlands;;;ISS ESG;https://www.ing.com/Sustainability/Sustainable-business/ING-Green-Bond.htm;;
Innogy SE;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://iam.innogy.com/en/about-innogy/investor-relations/bonds/green-bonds;;
Instituto de Crédito Oficial (ICO);Spain;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ico.es/web/ico_en/ico-green-bonds;;
International Finance Corporation (IFC);Supra-national;September 2016;CICERO;CICERO;http://www.ifc.org/wps/wcm/connect/corp_ext_content/ifc_external_corporate_site/about+ifc_new/ifc+governance/investor+relations/grnbond-overvw;;
Intesa Sanpaolo;Italy;;;VIGEO EIRIS;https://www.group.intesasanpaolo.com/scriptIsir0/si09/sostenibilita/eng_prodotti_verdi.jsp#/investor_relations/ita_prospetti.jsp%3FtabId%3DprogrMTNGB;;
Invesco Office J-REIT;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.invesco-reit.co.jp/en/ir/index.html;;
IREN S.p.A. (2017);Italy;October 2017;;DNV;https://www.gruppoiren.it/green-bond;;
IREN S.p.A. (2018);Italy;September 2018;;DNV;https://www.gruppoiren.it/green-bond;;
IREN S.p.A. (2019);Italy;September 2019;;DNV;https://www.gruppoiren.it/green-bond;;
Islamic Development Bank;Supra-national;;;CICERO;https://www.isdb.org/what-we-do/investor-relations;;
Íslandsbanki ;Iceland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.islandsbanki.is/en/article/sustainable-financing-framework;;
ITOCHU;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.ial-reit.com/en/sustainability/;;
JACCS CO., LTD. ;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.jaccs.co.jp/corporate/ir/stock/rating/;;
Jain Irrigation Systems Ltd.;India;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.nseprimeir.com/z_JISLJALEQS/index.aspx?value=3cYDU7170mvM600MSHCcMw==;;
Japan Excellent, Inc.;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.excellent-reit.co.jp/eng/ir/;;
Japan Finance Organization for Municipalities (JFM);Japan;;;VIGEO EIRIS;http://www.jfm.go.jp/en/investors/green_bond2.html#annual;;
Japan Hotel REIT Investment Corporation ;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;http://www.jhrth.co.jp/en/ir/index.html;;
Japan Housing Finance Agency (JHF);Japan;January 2019;;Japan Credit Rating Agency;https://www.jhf.go.jp/english/mbs.html;;
Japan Prime Realty Investment Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;http://www.jpr-reit.co.jp/en/about/sustainability/greenfinance/;;
Japan Real Estate Investment (JRE) ;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.j-re.co.jp/en/esg/index.html;;
Japan Retail Fund Investment Corp. ;Japan;;Rating and Investment Information;SUSTAINALYTICS;http://www.jrf-reit.com/english/ir/news.html;;
Johnson Controls Supra-national plc;Ireland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.johnsoncontrols.com/corporate-sustainability/green-finance;;
JSC Russian Railways (2019) ;Russian Federation;May 2019;;SUSTAINALYTICS;https://eng.rzd.ru/en/9653;;
JSC Russian Railways (2020);Russian Federation;;Rating Agency Expert RA;Rating Agency Expert RA;https://eng.rzd.ru/en/9653;;
JSC Russian Railways (2021);Russian Federation;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://eng.rzd.ru/en/9653;;
K2A (Knaust & Andersson Fastigheter AB (publ));Sweden;January 2020 (updated);CICERO;CICERO;https://investerare.k2a.se/sv/grona-obligationer;;
Kaiser Foundation Hospitals / California Health Facilities Financing Authority (Kaiser);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://share.kaiserpermanente.org/article/environmental-stewardship-climate-energy/;;
Kajima Corporation;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.kajima.co.jp/english/ir/index.html;;
Kanagawa Prefecture;Japan;;;Rating and Investment Information;http://www.pref.kanagawa.jp/docs/v6g/cnt/f6946/index.html;;
KANEKA Corporation;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.kaneka.co.jp/en/ir/;;
KBC;Belgium;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.kbc.com/en/kbc-green-bond;;
Kenedix Office Investment Corporation (2018);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;;;
Kenedix Office Investment Corporation (2019);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.kdo-reit.com/en/ir/;;
KfW (2016);Germany;September 2016;CICERO;CICERO;https://www.kfw.de/KfW-Group/Investor-Relations/KfW-Green-Bonds/index.html;;
KfW (2020);Germany;October 2020;;CICERO;https://www.kfw.de/KfW-Group/Investor-Relations/KfW-Green-Bonds/index.html;;
King County;US;;;CICERO;https://kingcounty.gov/services/environment/climate/strategies/green-bonds.aspx;;
Kingdom of Belgium;Belgium;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.debtagency.be/en/green-olo;;
Kingdom of Hungary;Hungary;;;CICERO;https://akk.hu/green-bond;;
Kingdom of Sweden;Sweden;;;CICERO;https://www.riksgalden.se/en/our-operations/central-government-borrowing/issuance/green-bonds/;;
Kingdom of the Netherlands;Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://english.dsta.nl/subjects/g/green-bonds;;
Klabin S.A;Brazil;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://rs.klabin.com.br/Sustainable-consumption-and-production;;
Klövern (Publ.) (2018);Sweden;March 2018;CICERO;CICERO;https://www.klovern.se/en/about-klovern/investor-relations/bonds-and-commercial-paper/;;
Klövern (Publ.) (2020);Sweden;October 2020;CICERO;CICERO;https://www.klovern.se/en/about-klovern/investor-relations/bonds-and-commercial-paper/;;
Kommunalbanken KBN ;Norway;June 2016;;CICERO;http://www.kommunalbanken.no/en/news-media/news-and-press-releases/2017/our-green-bond-impact;;
KommuneKredit;Denmark;;;CICERO;https://www.kommunekredit.dk/en/green-bonds/;;
Kommuninvest i Sverige AB;Sweden;June 2016;;CICERO;http://kommuninvest.se/en/for-investors/funding/funding-programmes/greenbonds/our-model/;;
Konan Ultra Power (2019);Japan;;;Rating and Investment Information;https://konan-ultra.de-power.co.jp/;;
Konan Ultra Power (2020);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://konan-ultra.de-power.co.jp/;;
Korea Development Bank;Korea;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.kdb.co.kr/ih/wcms.do;;
Korea Electric Power Corporation ;Korea;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://home.kepco.co.kr/kepco/EN/ntcob/list.do?boardSeq=21032409&parnScrpSeq=21032409&depth=0&boardNo=0&boardCd=BRD_000448&replyRo;;
Korea Midland Power;Korea;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.komipo.co.kr/eng/board/BRD_000092/boardMain.do?mnCd=EN030204&pageSize=10;;
Korea Water Resources Corporation;Korea;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://english.kwater.or.kr/eng/inve/greenBondPage.do?s_mid=1782;;
Kyushu Railway Company;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.jrkyushu.co.jp/company/ir_eng/library/greenbond/;;
La Banque Postale;France;;VIGEO EIRIS;VIGEO EIRIS;https://www.labanquepostale.fr/content/dam/groupe/investisseurs/pdf/dette/dette-verte/20190401_Second_Party_Opinion_La_Banque_Postale.pdf;;
La Poste Group;France;;;SUSTAINALYTICS;https://legroupe.laposte.fr/en/finance/debt-issuance-programmes/medium-to-long-term-programmes;;
Landesbank Baden-Württemberg (LBBW) ;Germany;;;oekom research;https://www.lbbw.de/en/investor_relations/refinanzierung/green_bond/green_bond.jsp;;
Landsbankinn;Iceland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.landsbankinn.is/en/the-bank/investor-relations/sustainable-finance;;
Landshypotek Bank AB;Sweden;;;CICERO;https://www.landshypotek.se/en/about-landshypotek/investor-relations/green-bond-framework/;;
Latvenergo (2015);Latvia;;;CICERO;https://latvenergo.lv/en/investoriem/finansu-informacija;;
Latvenergo (2020);Latvia;;;CICERO;https://latvenergo.lv/en/investoriem/finansu-informacija;;
LeasePlan;Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.leaseplan.com/corporate/investors/debtholder-centre;;
Liberty Power;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.algonquinpowercompany.com/;;
Lietuvos Energija;Lithuania;;;CICERO;https://www.le.lt/index.php/for-investors/debt-investors/green-bonds-framework/5085;;
Link Reit;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.linkreit.com/EN/corporate/Pages/Green-Bond.aspx;;
Looop Inc.;Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://looop.co.jp/en/;;
Lyse AS;Norway;;;CICERO;http://www.lysekonsern.no/financial-information/loans-and-prospectuses/;;
Macquarie Group;Australia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.macquarie.com/my/about/newsroom/2018/macquarie-group-issues-green-loan-facility/;;
Manulife;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.manulife.com/Green-Bonds;;
Marui Group;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.0101maruigroup.co.jp/en/ir/;;
mBank S.A. Group ;Poland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mbank.pl/en/investor-relations/ratings-debt-instruments/;;
MEIDENSHA CORPORATION;Japan;;Japan Credit Rating Agency;DNV;http://www.meidensha.com/csr/csr_06/index.html;;
Mexico City Airport Trust;Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.aeropuerto.gob.mx/inversionistas_que.php;;
Midsummer;Sweden;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://midsummer.se/ir/green-bond/;;
Milwaukee Metropolitan Sewerage District (2020A bonds);US;;;Kestrel Verifiers;https://www.mmsd.com/about-us/news/mmsd-issue-certified-climate-bond;;
Milwaukee Metropolitan Sewerage District (Series 2020D);US;;;Kestrel Verifiers;https://www.mmsd.com/about-us/news/mmsd-issue-certified-climate-bond;;
Mitsubishi Electric Credit Corporation ;Japan;;;Japan Credit Rating Agency;https://www.mitsubishielectric.com/en/sustainability/environment/policy/index.page;;
Mitsubishi Estate;Japan;;Rating and Investment Information;SUSTAINALYTICS;http://www.mec.co.jp/e/investor/index.html;;
Mitsubishi Heavy Industries;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mhi.com/finance/stock/greenbond;;
Mitsubishi UFJ Financial Group (2016);Japan;September 2016;SUSTAINALYTICS;SUSTAINALYTICS;https://www.mufg.jp/english/ir/fixed_income/greenbond/index.html;;
Mitsubishi UFJ Financial Group (2018);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mufg.jp/english/ir/fixed_income/greenbond/index.html;;
Mitsubishi UFJ Lease and Finance;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.lf.mufg.jp/english/corporate/index.html;;
Mitsubishi UFJ Trust and Banking Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.mufg.jp/english/ir/fixed_income/greenbond/index.html;;
Mitsui Fudosan Co., Ltd. (2018);Japan;;Appendix to Rating and Investment Information report;Rating and Investment Information;https://www.mitsuifudosan.co.jp/english/corporate/news/2019/0730_01/;;
Mitsui Fudosan Co., Ltd. (2020);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mitsuifudosan.co.jp/english/corporate/ir/library/?id=global;;
Mitsui O.S.K. Lines, Ltd.;Japan;;VIGEO EIRIS;VIGEO EIRIS;http://www.mol.co.jp/en/pr/2018/18053.html;;
Mizuho Financial Group, Inc. (2017);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mizuho-fg.com/csr/environment/business/greenbond/index.html;;
Mizuho Financial Group, Inc. (2020);Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mizuhogroup.com/sustainability/environment/business/greenbond;;
Modern Land (China);China;;;CICERO/ENSO;http://www.modernland.hk/en-us/index.php?m=list&a=index&id=24;;
Monash University;Australia;;;Moody's Investors Service;https://www.monash.edu/about/discover-sustainability;;
Mori Hills REIT Investment Corporation;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mori-hills-reit.co.jp/en/outline/approach_system/tabid/392/Default.aspx#Approach;;
MORIBUILDINGCo., Ltd.;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mori.co.jp/company/ir/greenbond.html;;
Mosaic Solar Loans 2017-1 LLC;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.joinmosaic.com/partnerform/solar/;;
Mowi ASA;Norway;;;CICERO;https://mowi.com/investors/share-and-bond/bonds/;;
MTR Corporation Ltd. ;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.mtr.com.hk/en/corporate/sustainability/sustainability_reporting.html;;
Münchener Hypothekenbank eG;Germany;;;ISS ESG;https://www.muenchenerhyp.de/en/subjects/sustainable;;
Munich Re;Germany;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.munichre.com/en.html;;
Municipality Credit Iceland Plc;Iceland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.lanasjodur.is/lan-til-sveitarfelaga/utlanastarfsemi/graenar-lanveitingar/;;
Municipality Finance plc (MuniFin);Finland;July 2016;SEI;CICERO;https://www.munifin.fi/sustainable-bonds/;;
Nacional Financiera, Sociedad Nacional de Crédito (Nafin);Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.nafin.com/portalnf/content/piso-financiero/emisiones-sustentables/green_bond_2020.html;;
National Australia Bank Limited (NAB);Australia;;;DNV;https://capital.nab.com.au/information/green-and-sri-bonds;;
National Bank of Greece;Greece;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.nbg.gr/en/the-group/investor-relations/dept-investors;;
National Grid PLC;UK;;;DNV;https://investors.nationalgrid.com/debt-investors/green-financing/greenfinancing;;
National Power Company of Iceland (Landsvirkjun);Iceland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.landsvirkjun.com/finance/funding/green-bond;;
Natwest (Royal Bank of Scotland Group) plc (2020);UK;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investors.rbs.com/fixed-income-investors/green-social-and-sustainability-bonds/gss-bonds.aspx;;
Nedbank;South Africa;;;CARBON TRUST;https://www.nedbank.co.za/content/nedbank/desktop/gt/en/investor-relations/debt-investor/debt-investors-programme.html;;
New Energy Investments;Poland;;;CICERO;https://ir.columbusglobal.com/;;
New South Wales Treasury Corporation ;Australia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.tcorp.nsw.gov.au/html/sustainabilitybonds.cfm;;
New World Development;China;;;HKQAA;https://www.nwd.com.hk/investor-relations;;
New York MTA;US;;;SUSTAINALYTICS;http://web.mta.info/mta/investor/new/green-bonds.htm;;
New York Power Authority ;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.nypa.gov/about/financials;;
Nidec Corporation;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.nidec.com/en/sustainability/environment/greenbond/;;
Nippon Yusen Kabushiki Kaisha (NYK);Japan;May 2018;VIGEO EIRIS;VIGEO EIRIS;http://www.nyk.com/english/csr/envi/manage/greenbond.html;;
Nobina AB;Sweden;February 2019;CICERO;CICERO;https://www.nobina.com/en/investor-relations/bond/nobina-ab/;;
Nomura Real Estate Master Fund, Inc. ;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.nre-mf.co.jp/en/ir/index.html;;
Nomura Research Institute (NRI);Japan;;;VIGEO EIRIS;https://www.nri.com/global/csr/greenstyle/greenbond.aspx;;
NORD/LB Luxembourg S.A.;Luxembourg;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.nordlb.lu/online/www/menu_top/greenbond/5327/ENG/index.html;;
Nordea Bank AB (2017);Finland;;oekom research;oekom research;https://www.nordea.com/en/investor-relations/reports-and-presentations/green-bonds/;;
Nordea Bank AB (2020);Finland;;;ISS ESG;https://www.nordea.com/en/investor-relations/reports-and-presentations/green-bonds/;;
Nordic Investment Bank (NIB);Supra-national;April 2020;CICERO;CICERO;http://www.nib.int/capital_markets/environmental_bonds;;
NorgesGruppen;Norway;;CICERO;CICERO;https://www.norgesgruppen.no/presse/nyhetsarkiv/aktuelt/utsteder-gront-obligasjonslan/;;
North American Development Bank;Supra-national;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.nadbank.org/~nadborg/index.php?acc=contest&tpl=investors;;
North Texas Municipal Water District;US;;;Kestrel Verifiers;https://www.ntmwd.com/finances/;;
Novelis Inc;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.novelis.com/sustainability/;;
NP3 Fastigheter;Sweden;September 2020;CICERO;CICERO;https://np3fastigheter.se/hallbarhet/ramverk-for-gron-finansiering/;;
NRW.BANK (2015);Germany;May 2019;oekom research;oekom research;https://www.nrwbank.com/en/investor-relations/NRW.BANK.Green_Bonds.html;;
NRW.BANK (2016);Germany;July 2016;oekom research;oekom research;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2017);Germany;August 2017;oekom research;oekom research;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2018);Germany;July 2018;oekom research;oekom research;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2019 - May);Germany;May 2019;ISS-oekom;ISS-oekom;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2019 - October);Germany;October 2019;ISS ESG;ISS ESG;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2020);Germany;January 2020;ISS ESG;ISS ESG;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NRW.BANK (2021);Germany;;;ISS ESG;https://www.nrwbank.com/opencms/en/investor-relations/Issuance_NRW.BANK.Green_Bond.html;;
NTT Group;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.ntt-finance.co.jp/ir/greenbond/index.html;;
NWB;Netherlands;August 2016;;CICERO;https://www.nwbbank.com/green-bond;;
Obayashi Corporation;Japan;November 2018;Rating and Investment Information;DNV;https://www.obayashi.co.jp/en/sustainability/environment/obayashi_green_bond.html;;
Obvion N.V. (Green Storm 2017);Netherlands;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.obvion.nl/Over-Obvion/Duurzaamheid-bij-Obvion.htm;;
Odakyu Electric Railway ;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.odakyu.jp/english/about/ir/;;
Odakyu Electric Railway ;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;;;
Offentliga Hus;Sweden;August 2019;CICERO;CICERO;https://offentligahus.se/obligationslan/;;
Okuibuki Kanko;Japan;;;Rating and Investment Information;https://www.okuibuki.co.jp/company/;;
OMEGA ENERGIA;Brazil;;;VIGEO EIRIS;http://www.omegaenergia.com.br/en/sustentabilidade/clean-and-renewable-energy/;;
Ontario Power Generation;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.opg.com/about/finance/Pages/Green-Bonds.aspx;;
OP Financial Group ;Finland;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.op.fi/op-financial-group/debt-investors/green-bonds;;
Orient Corporation;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.orico.co.jp/company/ir/library/annual/;;
ORIX Corporation;Japan;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.orix.co.jp/grp/en/ir/;;
Orix JREIT Inc.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.orixjreit.com/en/feature/initiatives1.html;;
Orsted;Denmark;;;CICERO;https://orsted.com/en/Investors/Debt/Green-Bond-Framework;;
Owens-Illinois, Inc. ;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.o-i.com/investors/;;
Oxley Holdings Limited;Singapore;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.oxley.com.sg/green-financing/;;
PACE Funding 2020-1;US;;;Kestrel Verifiers;https://www.pacefunding.com/about-us/;;
Paprec Group;France;;;VIGEO EIRIS;https://www.paprec.com/en/company/our-civic-engagement/green-bond;;
