Green Bond issuer;Country;Market Information Template;External Review Form;External Review Report;External links (NB: Please use the links for most up to date information);;
Banco Bilbao Vizcaya Argentaria S.A (BBVA);Spain;May 2018;;DNV;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2018/04/BBVA-SDGs-Bond-Framework_23042018_Eng.pdf ;;
Banco Davivienda ;Colombia;September 2018;Ernst & Young Audit S.A.S. (EY) Colombia;;https://www.davivienda.com/wps/portal/personas/nuevo/sostenibilidad/en/Inicio/home/!ut/p/z1/nZJRT4MwEIB_iw97JFdaHOOR4YiZwUXJNugLKaWwmtGyUZn-e-vik2ZMvbfLfb3cfVegkAFVbJANM1Irtrd5TqcFmT15j8s5TtLUX6Dwbr5JUEzwKkKwPQPoQoQI6G_ejwB0vP0GKNCOywpyDyOMK8YczmvheJiXDmOEOZUvXMIDhoVbf9Jcmc7sID_xtlCvYtBFr3sjlCzlXlasmqDvuVTNXvQTtNOtsBPT0aUeyBXAu_0BxAFBYYLSKAxWLor9L2Bk79x68y97c2E7SHGCtdLH1t4x_aOmewTLa6ezf0O-HA40tEq1MuLNQPZPp7YVPiZR0tghmdk5UtUasnOpa9frdkamz4s6WRCPlu-nmw8imPtl/dz/d5/L2dBISEvZ0FBIS9nQSEh/;;
Banco de Bogotá S.A.;Colombia;October 2020;Ernst & Young;Ernst & Young;https://www.bancodebogota.com/wps/portal/banco-de-bogota/bogota/investor-relations/issuances/bonds;;
Banco de Comercio Exterior de Colombia S.A.;Colombia;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bancoldex.com/informacion-de-interes-para-accionistas-e-inversionistas/emisiones-2336;;
Banco Mercantil del Norte S.A. ;Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investors.banorte.com/en/sustainability/resources/policies-and-procedures;;
Banco Nacional de Desenvolvimento Economicô e Social (BNDES);Brazil;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/Institucional/Investor_Relations/global_bonds.html;;
Bancolombia (2016);Colombia;December 2016;Deloitte;;http://www.grupobancolombia.com/wps/portal/acerca-de/informacion-corporativa/sostenibilidad/bonos-verdes/;;
Bancolombia (2018);Colombia;October 2018;Deloitte;Deloitte;http://www.grupobancolombia.com/wps/portal/acerca-de/informacion-corporativa/sostenibilidad/bonos-verdes/;;
Bank of China (2017);China;August 2017;Ernst & Young Hua Ming LLP;;http://www.boc.cn/en/investor/ir10/;;
Bank of China (2018);China;May 2018;Ernst & Young Hua Ming LLP;;http://www.boc.cn/en/investor/ir10/;;
Bank of the Philippine Islands;Philippines;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bpiexpressonline.com/p/1/2253/bpi-green-finance-framework;;
Bankinter S.A.;Spain;January 2020;Appendix to Sustainalytics report;SUSTAINALYTICS;https://webcorporativa.bankinter.com/www2/corporativa/en/sostenibilidad/Green_Bond_Framework;;
Barclays PLC;UK;;;CARBON TRUST;https://www.home.barclays/barclays-investor-relations/treasury-and-capital/green-bonds.html;;
Baseload Capital ;Sweden;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.baseloadcap.com/investors;;
BASF;Germany;;;ISS ESG;https://www.basf.com/global/en/investors/creditor-relations/basf-bonds/green-finance.html;;
BayWa;Germany;;;ISS-oekom;https://www.baywa.com/en/investor-relations/corporate-bonds.html;;
Bazalgette Finance plc (Tideway);UK;;;S&P Global Ratings;https://www.tideway.london/investors/#sub-nav;;
BBVA Bancomer ;Mexico;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bbva.com/en/bbva-publishes-sustainable-bond-issue-framework/;;
Beijing Capital Group;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bjcapital.com/en/content/details_117_2716.html;;
Berlin Hyp AG (2016);Germany;August 2016;;oekom research;http://www.green-pfandbrief.com/home;;
Berlin Hyp AG (2018);Germany;June 2018;;oekom research;http://www.green-pfandbrief.com/home;;
BKS Bank AG;Germany;;;rfu;https://www.bks.at/BKSWebp/BKS/bks_at/PRIVATKUNDEN/SparenundWertpapiere/Wertpapiere/Nachhaltige_Geldanlage/Green_Bond/index.jsp;;
BKW AG;Switzerland;;;ISS ESG;https://www.bkw.ch/en/about-us/investor-relations#c3586;;
Blackstone Property Partners Europe Holdings;Luxembourg;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://bppeh.blackstone.com/documents/;;
Bloom Energy Corporation;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://investor.bloomenergy.com/overview/default.aspx;;
BNP Paribas (2016);France;December 2016;E&Y;oekom research;https://invest.bnpparibas.com/en/investor-reports-external-reviews-green-bonds;;
BNP Paribas (2018);France;;;oekom research;https://invest.bnpparibas.com/en/investor-reports-external-reviews-green-bonds;;
BNP Paribas (2019);France;;;ISS ESG;https://invest.bnpparibas.com/en/investor-reports-external-reviews-green-bonds;;
BPCE;France;;;VIGEO EIRIS;http://www.groupebpce.fr/en/Investors/Funding/Green-bonds;;
Bpifrance;France;;;CICERO;https://www.bpifrance.fr/Investor-Relations;;
Brage Finans AS;Norway;;;CICERO;https://brage.no/investor/baerekraft/;;
Brookfield Renewable (2018);Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://bep.brookfield.com/debt-information;;
Brookfield Renewable (2019);Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://bep.brookfield.com/debt-information;;
Brookfield Renewable (2020);Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://bep.brookfield.com/debt-information;;
Caisse des Dépôts;France;;;VIGEO EIRIS;https://www.caissedesdepots.fr/en/green-social-and-sustainability-bonds;;
California Infrastructure and Economic Development Bank (CalSTRS);US;;;Kestrel Verifiers;https://www.ibank.ca.gov/bonds/projects-financed-by-ibank-issued-bonds/;;
CAMPO Co., Ltd. ;Japan;;;Rating and Investment Information;http://www.campo.co.jp/support/greenbond.html;;
Canada Pension Plan Investment Board;Canada;;CICERO;CICERO;http://www.cppib.com/en/our-performance/investor-relations/;;
Canadian Imperial Bank of Commerce;Canada;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.cibc.com/en/about-cibc/investor-relations/debt-information/green-bond.html;;
Canadian Solar Infrastructure Fund, Inc.;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.canadiansolarinfra.com/en/esg/greenbond.html;;
Canadian Solar Project;Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://canadiansolar-energy.co.jp/en/about/;;
Castellum AB;Sweden;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.castellum.se/en/investor-relations/financing/green-bonds/;;
Ceetrus;France;;;VIGEO EIRIS;https://www.ceetrus.fr/en/countrywide-standard-page/financial-results-0;;
Center-invest Bank (2019);Russian Federation;;;Rating Agency Expert RA;https://www.centrinvest.ru/en/about/presentations;;
Center-invest Bank (2021);Russian Federation;;Analytical Credit Rating Agency (ACRA);Analytical Credit Rating Agency (ACRA);https://www.centrinvest.ru/en/sustainability/;;
Central American Bank for Economic Integration (CABEI);Supra-national;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.bcie.org/en/investor-relations/green-bank/;;
Central Nippon Expressway Company (Climate Resilience);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.c-nexco.co.jp/en/corporate/ir/greenbond/;;
Central Nippon Expressway Company Limited (2020);Japan;;Japan Credit Rating Agency;Japan Credit Rating Agency;https://www.c-nexco.co.jp/en/corporate/ir/greenbond/;;
Central Puget Sound Regional Transit Authority (Sound Transit);US;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.soundtransit.org/sustainability/green-bonds;;
China Construction Bank (HK Branch);China;;;E&Y;http://www.ccb.com/en/investorv3/greenbond/20191014_1571023002.html;;
China Construction Bank (Luxembourg Branch);Luxembourg;;;E&Y;http://www.ccb.com/en/investorv3/greenbond/20191014_1571023002.html;;
China Everbright Bank;China;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.cebbank.com/site/gdywwz/CEB_Homepage/Bank%20profile/index.html;;
Cibus Nordic Real Estate AB;Sweden;June 2020;SUSTAINALYTICS;SUSTAINALYTICS;https://www.cibusnordic.com/investors/the-bond/sek-green-bond-600-msek/;;
Citi Group;US;;Appendix to Sustainalytics report;SUSTAINALYTICS;https://www.citigroup.com/citi/fixedincome/green_bonds.htm;;
City Developments Limited;Singapore;;Appendix to Sustainalytics report;SUSTAINALYTICS;http://www.cdlsustainability.com/09-green-financing.html;;
City of Berkeley, California (series A);US;;;Kestrel Verifiers;https://www.cityofberkeley.info/Finance/Home/Financial_Reports.aspx;;
City of Berkeley, California (series B);US;;;Kestrel Verifiers;https://www.cityofberkeley.info/Finance/Home/Financial_Reports.aspx;;
City of Boston;US;;;Kestrel Verifiers;https://www.buybostonbonds.com/boston-investor-relations-ma/bonds/i3491;;
City of Cape Town;South Africa;;;Moody's Investors Service;http://www.capetown.gov.za/work%20and%20business/invest-in-cape-town/the-citys-investor-relations/external-finance;;
City of Edmonds;US;;;Kestrel Verifiers;http://www.edmondswa.gov/financial-reports.html;;
City of Gothenburg;Sweden;;CICERO;CICERO;http://finans.goteborg.se/en/greenbonds/;;
City of Lund;Sweden;;;CICERO;http://www.cicero.uio.no/en/posts/what-we-do/cicero-second-opinions-list ;;
City of Minneapolis (2018);US;;Kestrel Verifiers;;http://www2.minneapolismn.gov/sustainability/reports/index.htm;;
City of Minneapolis (2019);US;;Kestrel Verifiers;Kestrel Verifiers;http://www2.minneapolismn.gov/sustainability/reports/index.htm;;
City of Oslo;Norway;;;CICERO;http://www.cicero.uio.no/en/posts/what-we-do/cicero-second-opinions-list ;;
City of Paris;France;;;VIGEO EIRIS;https://www.paris.fr/investisseurs#strategie-de-financement-verte-et-responsable_2;;
City of Reykjavik;Iceland;;CICERO;CICERO;https://reykjavik.is/thjonusta/graen-skuldabref-green-bonds;;
