ISIN	ICB Industry name	ICB Sector name	ICB Supersector name
XS1319652902	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1204254715	Financials	Life Insurance	Insurance
XS1550988569	Financials	Life Insurance	Insurance
XS1623355374	Financials	Life Insurance	Insurance
XS1623355457	Financials	Life Insurance	Insurance
XS1134729794	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1134758116	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1492825051	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1492825481	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1584884347	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1585010074	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0912992160	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1025752293	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
FR0000471930	Telecommunications	Telecommunications Service Providers	Telecommunications
XS0365094811	Telecommunications	Telecommunications Service Providers	Telecommunications
XS1408317433	Telecommunications	Telecommunications Service Providers	Telecommunications
XS1418632748	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1615067615	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1489391109	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
FR0011798115	Consumer Staples	Beverages	Food, Beverage and Tobacco
FR0012173862	Consumer Staples	Beverages	Food, Beverage and Tobacco
FR0012968931	Consumer Staples	Beverages	Food, Beverage and Tobacco
FR0013172939	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1028951777	Energy	Oil, Gas and Coal	Energy
XS0944435121	Financials	Life Insurance	Insurance
NL0006133175	Industrials	Industrial Transportation	Industrial Goods and Services
FR0012384634	Consumer Discretionary	Media	Media
FR0012384667	Consumer Discretionary	Media	Media
FR0013217346	Consumer Discretionary	Media	Media
